Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
3/1/1914,0:00,4.501,3.53,NaN,2.881,NaN,NaN,2.07,1.001,0
4/1/1914,0:00,4.701,4.091,NaN,3.53,NaN,NaN,2.72,1.699,0
5/1/1914,0:00,5.699,4.76,NaN,4.199,NaN,NaN,3.291,2.402,0
6/1/1914,0:00,5,4.239,NaN,3.638,NaN,NaN,2.74,2.1,0
7/1/1914,0:00,4.4,3.891,NaN,3.31,NaN,NaN,2.369,1.699,0
8/1/1914,0:00,4.4,4.16,NaN,3.638,NaN,NaN,2.789,1.801,0
9/1/1914,0:00,5.299,4.482,NaN,4.019,NaN,NaN,3.32,2.598,0
10/1/1914,0:00,5.6,4.39,NaN,3.901,NaN,NaN,3.15,2.402,0
11/1/1914,0:00,5.098,4.36,NaN,3.78,NaN,NaN,2.969,1.401,0
12/1/1914,0:00,5.098,4.15,NaN,3.589,NaN,NaN,2.7,1.401,0
1/1/1915,0:00,4.6,3.701,NaN,3.091,NaN,NaN,2.129,0.4,0
2/1/1915,0:00,5.098,4.081,NaN,3.399,NaN,NaN,2.661,0.899,0
3/1/1915,0:00,5.098,3.862,NaN,3.219,NaN,NaN,2.359,0.699,0
4/1/1915,0:00,5,4.019,NaN,3.33,NaN,NaN,2.402,1.099,0
5/1/1915,0:00,5,4.301,NaN,3.589,NaN,NaN,2.589,1.601,0
6/1/1915,0:00,4.501,4.111,NaN,3.34,NaN,NaN,2.329,1.601,0
7/1/1915,0:00,4.6,4.101,NaN,3.409,NaN,NaN,2.402,2.001,0
8/1/1915,0:00,14.101,4.049,NaN,3.389,NaN,NaN,2.451,NaN,5
9/1/1915,0:00,5,4.482,NaN,3.891,NaN,NaN,3.081,2.799,5
10/1/1915,0:00,5.098,4.629,NaN,3.999,NaN,NaN,3.159,2.7,0
11/1/1915,0:00,4.8,4.111,NaN,3.409,NaN,NaN,2.441,0.699,0
12/1/1915,0:00,5.2,4.029,NaN,3.35,NaN,NaN,2.359,0.2,0
1/1/1916,0:00,5.098,4.199,NaN,3.54,NaN,NaN,2.612,1.201,0
6/1/1916,0:00,4.902,4.18,NaN,3.428,NaN,NaN,2.411,1.401,0
7/1/1916,0:00,5,3.881,NaN,3.209,NaN,NaN,2.231,1.499,0
8/1/1916,0:00,6.299,4.311,NaN,3.711,NaN,NaN,2.73,1.9,0
9/1/1916,0:00,5.098,4.491,NaN,3.891,NaN,NaN,3.081,2.5,0
10/1/1916,0:00,5.6,4.56,NaN,4.009,NaN,NaN,3.189,2.201,0
11/1/1916,0:00,5.2,4.291,NaN,3.579,NaN,NaN,2.69,1.201,0
12/1/1916,0:00,4.4,3.74,NaN,3.041,NaN,NaN,2.09,0.6,0
1/1/1917,0:00,4.199,3.579,NaN,2.861,NaN,NaN,1.89,1.001,0
2/1/1917,0:00,4.101,3.54,NaN,2.841,NaN,NaN,1.909,0.098,0
3/1/1917,0:00,4.501,3.99,NaN,3.35,NaN,NaN,2.402,0.899,0
4/1/1917,0:00,4.701,4.131,NaN,3.419,NaN,NaN,2.549,0.899,0
5/1/1917,0:00,5.299,4.268,NaN,3.599,NaN,NaN,2.7,2.001,0
6/1/1917,0:00,4.8,4.18,NaN,3.471,NaN,NaN,2.52,1.801,0
7/1/1917,0:00,4.6,3.862,NaN,3.159,NaN,NaN,2.149,1.201,0
8/1/1917,0:00,4.199,3.691,NaN,3.031,NaN,NaN,2.129,1.299,0
9/1/1917,0:00,5.098,4.331,NaN,3.75,NaN,NaN,2.969,2.201,0
10/1/1917,0:00,4.902,4.15,NaN,3.54,NaN,NaN,2.74,1.099,0
11/1/1917,0:00,4.199,3.55,NaN,2.89,NaN,NaN,2.001,0.699,0
12/1/1917,0:00,4.701,3.809,NaN,3.071,NaN,NaN,2.11,1.099,0
1/1/1918,0:00,4.6,3.419,NaN,2.589,NaN,NaN,1.591,0.2,0
2/1/1918,0:00,3.999,3.53,NaN,2.89,NaN,NaN,2.041,1.299,0
3/1/1918,0:00,4.199,3.701,NaN,3.11,NaN,NaN,2.3,1.699,0
4/1/1918,0:00,5.2,4.16,NaN,3.52,NaN,NaN,2.621,1.401,0
5/1/1918,0:00,5.299,4.482,NaN,3.862,NaN,NaN,2.949,2.3,0
6/1/1918,0:00,4.501,4.058,NaN,3.399,NaN,NaN,2.461,1.9,0
7/1/1918,0:00,4.6,3.921,NaN,3.31,NaN,NaN,2.451,1.801,0
8/1/1918,0:00,4.6,3.848,NaN,3.261,NaN,NaN,2.339,1.601,0
9/1/1918,0:00,4.8,4.15,NaN,3.589,NaN,NaN,2.822,2.1,0
10/1/1918,0:00,5.098,4.268,NaN,3.76,NaN,NaN,3.009,2.001,0
11/1/1918,0:00,5.2,4.111,NaN,3.428,NaN,NaN,2.539,0.2,0
12/1/1918,0:00,5.499,3.96,NaN,3.291,NaN,NaN,2.379,1.201,0
1/1/1919,0:00,4.6,3.76,NaN,3.1,NaN,NaN,2.201,0.499,0
2/1/1919,0:00,4.8,3.999,NaN,3.33,NaN,NaN,2.51,0.699,0
3/1/1919,0:00,4.902,4.229,NaN,3.629,NaN,NaN,2.89,1.499,0
4/1/1919,0:00,5.098,4.15,NaN,3.53,NaN,NaN,2.73,2.001,0
5/1/1919,0:00,5.299,4.341,NaN,3.629,NaN,NaN,2.671,1.9,0
6/1/1919,0:00,6.401,4.81,NaN,4.15,NaN,NaN,3.209,2.1,0
7/1/1919,0:00,4.4,4.058,NaN,3.442,NaN,NaN,2.612,1.801,0
8/1/1919,0:00,4.4,3.76,NaN,3.232,NaN,NaN,2.431,1.801,0
9/1/1919,0:00,12.001,4.931,NaN,4.419,NaN,NaN,3.681,3.1,0
10/1/1919,0:00,5.2,4.669,NaN,4.17,NaN,NaN,3.442,2.799,0
11/1/1919,0:00,5.4,4.649,NaN,4.131,NaN,NaN,3.36,2.5,0
12/1/1919,0:00,4.902,4.19,NaN,3.579,NaN,NaN,2.759,1.9,0
1/1/1920,0:00,4.8,4.131,NaN,3.52,NaN,NaN,2.661,1.699,0
2/1/1920,0:00,5.4,4.039,NaN,3.461,NaN,NaN,2.621,1.401,0
3/1/1920,0:00,4.902,3.901,NaN,3.241,NaN,NaN,2.431,0.801,0
4/1/1920,0:00,4.902,4.131,NaN,3.501,NaN,NaN,2.749,1.001,0
5/1/1920,0:00,5,4.268,NaN,3.671,NaN,NaN,2.841,2.3,0
6/1/1920,0:00,4.902,4.291,NaN,3.701,NaN,NaN,2.92,2.1,0
7/1/1920,0:00,4.8,4.101,NaN,3.51,NaN,NaN,2.7,2.1,0
8/1/1920,0:00,4.501,4.101,NaN,3.589,NaN,NaN,2.861,2.5,0
9/1/1920,0:00,5.4,4.219,NaN,3.711,NaN,NaN,3.051,2.3,0
10/1/1920,0:00,5.699,4.678,NaN,4.19,NaN,NaN,3.471,2.201,0
11/1/1920,0:00,6.001,4.281,NaN,3.609,NaN,NaN,2.822,1.601,0
12/1/1920,0:00,5.2,4.081,NaN,3.369,NaN,NaN,2.539,1.201,0
1/1/1921,0:00,4.8,3.97,NaN,3.428,NaN,NaN,2.749,1.499,0
2/1/1921,0:00,4.8,4.009,NaN,3.399,NaN,NaN,2.621,1.499,0
3/1/1921,0:00,5.801,4.731,NaN,4.199,NaN,NaN,3.51,2.598,0
4/1/1921,0:00,6.099,5.079,NaN,4.541,NaN,NaN,3.78,2.7,0
5/1/1921,0:00,5.801,5.089,NaN,4.491,NaN,NaN,3.74,2.999,0
6/1/1921,0:00,6.9,5.059,NaN,4.439,NaN,NaN,3.619,2.799,0
7/1/1921,0:00,5.299,4.409,NaN,3.819,NaN,NaN,2.999,2.3,0
8/1/1921,0:00,5.299,4.491,NaN,3.829,NaN,NaN,3.091,2.402,0
9/1/1921,0:00,5.299,4.78,NaN,4.331,NaN,NaN,3.72,3.301,0
10/1/1921,0:00,5.2,4.449,NaN,3.921,NaN,NaN,3.261,1.401,5
11/1/1921,0:00,4.6,4.049,NaN,3.451,NaN,NaN,2.7,1.601,0
12/1/1921,0:00,4.6,3.809,NaN,3.219,NaN,NaN,2.359,1.499,0
1/1/1922,0:00,5.299,3.921,NaN,3.301,NaN,NaN,2.53,0.299,0
2/1/1922,0:00,4.902,4.049,NaN,3.51,NaN,NaN,2.841,1.201,0
3/1/1922,0:00,5.2,4.058,NaN,3.491,NaN,NaN,2.73,1.201,0
4/1/1922,0:00,5.699,4.731,NaN,4.14,NaN,NaN,3.428,2.402,0
5/1/1922,0:00,5.499,4.59,NaN,3.93,NaN,NaN,3.14,2.3,0
6/1/1922,0:00,5.699,4.482,NaN,3.871,NaN,NaN,3.051,2.1,0
7/1/1922,0:00,4.4,4.058,NaN,3.471,NaN,NaN,2.68,2.1,0
8/1/1922,0:00,4.199,3.862,NaN,3.34,NaN,NaN,2.579,1.9,0
9/1/1922,0:00,5.4,4.511,NaN,4.039,NaN,NaN,3.36,2.598,0
10/1/1922,0:00,5,4.531,NaN,4.019,NaN,NaN,3.36,2.3,0
11/1/1922,0:00,5.299,4.541,NaN,4.029,NaN,NaN,3.35,2.402,0
12/1/1922,0:00,4.701,4.121,NaN,3.52,NaN,NaN,2.7,1.001,0
1/1/1923,0:00,4.501,3.95,NaN,3.379,NaN,NaN,2.612,1.699,0
2/1/1923,0:00,4.8,4.072,NaN,3.54,NaN,NaN,2.851,2.001,0
3/1/1923,0:00,5.699,4.39,NaN,3.789,NaN,NaN,3.041,1.499,0
4/1/1923,0:00,5.6,4.59,NaN,4.039,NaN,NaN,3.34,2.402,0
5/1/1923,0:00,5.899,4.741,NaN,4.17,NaN,NaN,3.428,2.001,0
6/1/1923,0:00,5.499,4.8,NaN,4.229,NaN,NaN,3.471,2.5,0
7/1/1923,0:00,5.098,4.131,NaN,3.54,NaN,NaN,2.789,1.9,0
8/1/1923,0:00,4.4,3.77,NaN,3.199,NaN,NaN,2.52,2.001,0
9/1/1923,0:00,5.098,4.18,NaN,3.72,NaN,NaN,3.1,2.598,0
10/1/1923,0:00,7.001,4.99,NaN,4.459,NaN,NaN,3.839,2.799,0
11/1/1923,0:00,5.299,4.249,NaN,3.711,NaN,NaN,2.949,2.001,0
12/1/1923,0:00,4.701,4.131,NaN,3.53,NaN,NaN,2.73,1.499,0
1/1/1924,0:00,5.098,4.17,NaN,3.53,NaN,NaN,2.72,1.299,0
2/1/1924,0:00,5,3.711,NaN,3.11,NaN,NaN,2.28,0.899,0
3/1/1924,0:00,5.699,4.14,NaN,3.501,NaN,NaN,2.799,1.401,0
4/1/1924,0:00,4.501,3.848,NaN,3.281,NaN,NaN,2.569,1.801,0
5/1/1924,0:00,4.301,3.839,NaN,3.209,NaN,NaN,2.451,1.699,0
6/1/1924,0:00,5,4.14,NaN,3.53,NaN,NaN,2.69,1.9,0
7/1/1924,0:00,4.6,4.101,NaN,3.53,NaN,NaN,2.72,1.9,0
8/1/1924,0:00,4.301,3.829,NaN,3.281,NaN,NaN,2.52,1.699,0
9/1/1924,0:00,5,4.419,NaN,3.98,NaN,NaN,3.32,2.5,0
10/1/1924,0:00,5.6,4.669,NaN,4.199,NaN,NaN,3.55,2.598,0
11/1/1924,0:00,4.8,4.039,NaN,3.481,NaN,NaN,2.7,1.401,0
12/1/1924,0:00,4.8,3.94,NaN,3.31,NaN,NaN,2.47,1.099,0
1/1/1925,0:00,4.6,3.638,NaN,3.051,NaN,NaN,2.231,1.401,0
2/1/1925,0:00,4.101,3.638,NaN,3.11,NaN,NaN,2.369,1.001,0
3/1/1925,0:00,4.8,3.95,NaN,3.409,NaN,NaN,2.73,1.9,0
4/1/1925,0:00,4.902,4.111,NaN,3.51,NaN,NaN,2.799,2.1,0
5/1/1925,0:00,4.701,4.101,NaN,3.51,NaN,NaN,2.749,2.3,0
6/1/1925,0:00,5.2,4.219,NaN,3.609,NaN,NaN,2.779,1.9,0
7/1/1925,0:00,4.301,3.75,NaN,3.1,NaN,NaN,2.178,1.401,0
8/1/1925,0:00,4.4,3.97,NaN,3.409,NaN,NaN,2.559,1.801,0
9/1/1925,0:00,5.299,4.409,NaN,3.848,NaN,NaN,3.11,2.5,0
10/1/1925,0:00,5.4,4.459,NaN,3.829,NaN,NaN,3.1,2.5,0
11/1/1925,0:00,5.299,4.511,NaN,4.009,NaN,NaN,3.251,1.601,0
12/1/1925,0:00,4.701,3.911,NaN,3.31,NaN,NaN,2.48,1.001,0
1/1/1926,0:00,4.701,3.78,NaN,3.11,NaN,NaN,2.231,0.899,0
2/1/1926,0:00,4.199,3.471,NaN,2.779,NaN,NaN,1.939,0.2,0
3/1/1926,0:00,5.2,3.95,NaN,3.379,NaN,NaN,2.612,1.201,0
4/1/1926,0:00,5.4,4.18,NaN,3.54,NaN,NaN,2.73,1.699,0
5/1/1926,0:00,5.299,4.131,NaN,3.461,NaN,NaN,2.598,1.9,0
6/1/1926,0:00,4.501,3.97,NaN,3.33,NaN,NaN,2.49,1.9,0
7/1/1926,0:00,4.301,3.809,NaN,3.209,NaN,NaN,2.388,1.601,0
8/1/1926,0:00,5.4,4.17,NaN,3.609,NaN,NaN,2.769,1.401,0
9/1/1926,0:00,5.2,4.629,NaN,4.17,NaN,NaN,3.481,2.999,0
10/1/1926,0:00,5.299,4.659,NaN,4.058,NaN,NaN,3.36,1.9,0
11/1/1926,0:00,4.902,4.081,NaN,3.409,NaN,NaN,2.641,0.6,0
12/1/1926,0:00,5,4.469,NaN,3.881,NaN,NaN,3.018,2.1,0
1/1/1927,0:00,4.701,4.072,NaN,3.442,NaN,NaN,2.579,1.299,0
2/1/1927,0:00,4.8,4.291,NaN,3.681,NaN,NaN,2.881,1.699,0
3/1/1927,0:00,5.299,4.229,NaN,3.661,NaN,NaN,2.831,1.099,0
4/1/1927,0:00,6.299,4.659,NaN,4.072,NaN,NaN,3.281,1.699,0
5/1/1927,0:00,5.6,4.639,NaN,4.009,NaN,NaN,3.209,2.5,0
6/1/1927,0:00,5.299,4.521,NaN,3.881,NaN,NaN,3.041,2.3,0
7/1/1927,0:00,4.701,4.301,NaN,3.72,NaN,NaN,2.89,2.201,0
8/1/1927,0:00,4.501,4.131,NaN,3.589,NaN,NaN,2.831,2.1,0
9/1/1927,0:00,5,4.439,NaN,3.921,NaN,NaN,3.241,2.3,0
10/1/1927,0:00,5.299,4.459,NaN,3.911,NaN,NaN,3.159,2.402,0
11/1/1927,0:00,5.098,4.459,NaN,3.848,NaN,NaN,3.051,2.402,0
12/1/1927,0:00,5.098,4.199,NaN,3.57,NaN,NaN,2.73,1.299,0
1/1/1928,0:00,4.4,3.789,NaN,3.14,NaN,NaN,2.26,1.499,0
2/1/1928,0:00,4.8,3.862,NaN,3.219,NaN,NaN,2.31,0.098,0
3/1/1928,0:00,4.4,3.839,NaN,3.232,NaN,NaN,2.421,1.299,0
4/1/1928,0:00,5.2,4.199,NaN,3.56,NaN,NaN,2.71,1.699,0
5/1/1928,0:00,5.2,4.239,NaN,3.619,NaN,NaN,2.789,1.499,0
6/1/1928,0:00,4.902,4.38,NaN,3.701,NaN,NaN,2.779,2.201,0
7/1/1928,0:00,4.4,3.99,NaN,3.379,NaN,NaN,2.47,1.499,0
8/1/1928,0:00,4.6,4.16,NaN,3.599,NaN,NaN,2.779,2.1,0
9/1/1928,0:00,5.6,4.902,NaN,4.39,NaN,NaN,3.711,3.1,0
10/1/1928,0:00,5.699,4.531,NaN,3.94,NaN,NaN,3.169,2.598,0
11/1/1928,0:00,5.499,4.331,NaN,3.671,NaN,NaN,2.779,2.1,0
12/1/1928,0:00,4.902,4.18,NaN,3.491,NaN,NaN,2.549,1.201,0
1/1/1929,0:00,5,4.121,NaN,3.491,NaN,NaN,2.641,1.401,0
2/1/1929,0:00,4.902,4.281,NaN,3.671,NaN,NaN,2.851,1.801,0
3/1/1929,0:00,5.4,4.439,NaN,3.799,NaN,NaN,3.031,1.099,0
4/1/1929,0:00,6.499,4.81,NaN,4.209,NaN,NaN,3.428,2.3,0
5/1/1929,0:00,5.4,4.78,NaN,4.199,NaN,NaN,3.389,2.5,0
6/1/1929,0:00,5.699,4.82,NaN,4.18,NaN,NaN,3.301,2.201,0
7/1/1929,0:00,5.499,4.669,NaN,4.101,NaN,NaN,3.219,2.201,0
8/1/1929,0:00,4.902,4.59,NaN,4.009,NaN,NaN,3.13,2.5,0
9/1/1929,0:00,5.899,5,NaN,4.439,NaN,NaN,3.671,2.9,0
3/1/1930,0:00,5,4.259,NaN,3.619,NaN,NaN,2.799,1.601,0
4/1/1930,0:00,5.299,4.331,NaN,3.73,NaN,NaN,2.94,2.201,0
5/1/1930,0:00,5.4,4.78,NaN,4.16,NaN,NaN,3.301,2.598,0
6/1/1930,0:00,5.299,4.439,NaN,3.799,NaN,NaN,2.9,1.299,0
7/1/1930,0:00,4.501,3.99,NaN,3.34,NaN,NaN,2.451,2.1,0
8/1/1930,0:00,5,4.199,NaN,3.579,NaN,NaN,2.7,1.9,0
9/1/1930,0:00,5.098,4.419,NaN,3.871,NaN,NaN,3.11,2.402,0
10/1/1930,0:00,5.899,4.81,NaN,4.239,NaN,NaN,3.52,2.402,0
11/1/1930,0:00,5.098,4.14,NaN,3.52,NaN,NaN,2.769,1.099,0
12/1/1930,0:00,5,3.848,NaN,3.189,NaN,NaN,2.27,1.299,0
1/1/1931,0:00,4.701,3.819,3.661,3.11,3.179,2.7,2.129,0.098,0
2/1/1931,0:00,5.2,4.091,3.96,3.419,3.491,3.018,2.51,1.201,0
3/1/1931,0:00,5.4,3.76,3.579,3.018,3.081,2.569,2.09,0,0
4/1/1931,0:00,4.6,4.058,3.881,3.34,3.419,2.959,2.461,1.601,0
5/1/1931,0:00,4.8,3.93,3.76,3.209,3.281,2.808,2.231,1.601,0
6/1/1931,0:00,5.2,4.058,3.891,3.34,3.442,2.989,2.388,1.699,0
7/1/1931,0:00,5.4,4.131,4.019,3.491,3.56,3.11,2.52,1.699,0
8/1/1931,0:00,4.701,4.091,3.999,3.52,3.579,3.169,2.68,1.699,0
9/1/1931,0:00,5,4.482,4.39,3.881,3.98,3.56,3.1,2.402,0
10/1/1931,0:00,5.4,4.731,4.619,4.121,4.209,3.799,3.34,2.1,0
11/1/1931,0:00,5.2,4.511,4.35,3.809,3.901,3.451,2.89,2.201,0
12/1/1931,0:00,5.299,4.331,4.17,3.638,3.73,3.291,2.74,1.801,0
1/1/1932,0:00,5.4,4.58,4.439,3.862,3.96,3.481,2.94,1.601,0
2/1/1932,0:00,5.499,4.649,4.541,4.019,4.101,3.652,3.15,2.001,0
3/1/1932,0:00,5.499,4.19,3.999,3.399,3.501,2.999,2.461,1.099,0
4/1/1932,0:00,5.2,4.19,3.999,3.451,3.55,3.1,2.631,0.098,0
5/1/1932,0:00,5.2,4.37,4.229,3.691,3.78,3.33,2.831,1.9,0
6/1/1932,0:00,5.2,4.37,4.219,3.661,3.77,3.32,2.72,1.699,0
7/1/1932,0:00,4.902,4.311,4.16,3.599,3.701,3.241,2.631,2.001,0
8/1/1932,0:00,8.1,4.551,4.39,3.848,3.95,3.51,3.018,2.201,0
9/1/1932,0:00,5.699,4.79,4.701,4.209,4.301,3.901,3.471,2.7,0
10/1/1932,0:00,5.2,4.56,4.439,3.93,4.019,3.599,3.12,1.699,0
11/1/1932,0:00,5,4.209,3.98,3.399,3.471,2.959,2.411,1.001,0
12/1/1932,0:00,4.8,4.36,4.209,3.661,3.76,3.31,2.74,0.6,0
1/1/1933,0:00,4.8,4.16,4.039,3.52,3.599,3.169,2.671,1.699,0
2/1/1933,0:00,5.4,4.459,4.291,3.78,3.839,3.399,2.969,0.4,0
3/1/1933,0:00,5.499,4.439,4.281,3.75,3.829,3.379,2.94,1.299,11
4/1/1933,0:00,5.499,4.639,4.482,3.901,4.039,3.589,3.081,0.499,0
5/1/1933,0:00,5.499,4.849,4.721,4.18,4.301,3.881,3.35,2.7,0
6/1/1933,0:00,5.098,4.531,4.39,3.829,3.96,3.53,2.969,2.1,0
7/1/1933,0:00,6.699,4.58,4.449,3.901,3.999,3.56,2.989,2.001,0
8/1/1933,0:00,7.001,4.701,4.639,4.14,4.219,3.789,3.261,2.402,0
9/1/1933,0:00,6.699,5.01,4.921,4.439,4.511,4.101,3.609,2.999,0
10/1/1933,0:00,5.6,4.849,4.731,4.291,4.35,3.97,3.54,2.402,0
11/1/1933,0:00,5.699,4.409,4.239,3.72,3.799,3.36,2.822,1.801,0
12/1/1933,0:00,5.2,4.16,3.99,3.451,3.54,3.091,2.52,1.201,0
1/1/1934,0:00,5.3,4.229,4.121,3.599,3.661,3.209,2.68,1.8,0
2/1/1934,0:00,4.8,4.019,3.891,3.369,3.442,2.979,2.52,1.299,0
3/1/1934,0:00,5.499,4.009,3.891,3.389,3.442,2.999,2.589,0.899,0
4/1/1934,0:00,5,4.281,4.14,3.661,3.701,3.261,2.822,2.201,0
5/1/1934,0:00,4.902,4.281,4.131,3.629,3.701,3.271,2.69,1.499,0
6/1/1934,0:00,5.499,4.268,4.14,3.629,3.701,3.261,2.69,1.601,0
7/1/1934,0:00,9.301,4.18,4.049,3.501,3.56,3.061,2.53,1.601,0
8/1/1934,0:00,5.299,4.17,4.058,3.54,3.619,3.179,2.641,1.801,0
9/1/1934,0:00,5,4.501,4.409,3.911,3.98,3.56,3.091,2.598,0
10/1/1934,0:00,5.098,4.669,4.531,4.058,4.121,3.72,3.271,2.5,0
11/1/1934,0:00,6.099,4.639,4.439,3.911,3.97,3.501,3.009,1.299,0
12/1/1934,0:00,5.4,4.101,3.911,3.369,3.442,2.979,2.431,0.299,0
1/1/1935,0:00,5,4.029,3.862,3.301,3.379,2.91,2.339,0.6,0
2/1/1935,0:00,5.1,3.999,3.871,3.32,3.379,2.9,2.461,1.3,0
3/1/1935,0:00,4.3,4.14,4.009,3.501,3.56,3.11,2.71,2.3,11
4/1/1935,0:00,5.2,4.19,4.049,3.53,3.589,3.13,2.72,1.601,0
5/1/1935,0:00,5.801,4.869,4.741,4.19,4.259,3.77,3.189,2.598,0
6/1/1935,0:00,5.299,4.639,4.531,3.999,4.081,3.638,3.071,2.7,0
7/1/1935,0:00,4.902,4.469,4.37,3.871,3.96,3.54,2.999,1.9,0
8/1/1935,0:00,5.098,4.229,4.18,3.73,3.789,3.399,2.989,2.3,0
9/1/1935,0:00,5.299,4.619,4.541,4.081,4.14,3.74,3.34,2.3,0
10/1/1935,0:00,5.801,4.902,4.79,4.341,4.4,4.009,3.56,2.9,0
11/1/1935,0:00,5.499,4.639,4.482,3.98,4.058,3.629,3.13,1.601,0
12/1/1935,0:00,5.699,4.311,4.15,3.619,3.681,3.219,2.72,1.499,0
1/1/1936,0:00,4.701,3.97,3.829,3.31,3.379,2.93,2.441,0.2,0
2/1/1936,0:00,4.8,4.259,4.16,3.638,3.711,3.261,2.799,1.499,0
3/1/1936,0:00,4.6,4.039,3.901,3.442,3.481,3.051,2.612,1.201,0
4/1/1936,0:00,5,4.19,3.999,3.51,3.56,3.11,2.69,1.9,0
5/1/1936,0:00,6.699,4.951,4.82,4.341,4.409,3.999,3.54,2.5,0
6/1/1936,0:00,5.098,4.8,4.659,4.14,4.219,3.78,3.209,2.5,0
7/1/1936,0:00,5.098,4.459,4.341,3.809,3.891,3.442,2.881,2.1,0
8/1/1936,0:00,5.098,4.6,4.541,4.049,4.131,3.72,3.281,2.3,0
9/1/1936,0:00,5.2,4.711,4.639,4.17,4.229,3.819,3.451,2.7,0
10/1/1936,0:00,5.2,4.649,4.541,4.072,4.131,3.72,3.281,2.7,0
11/1/1936,0:00,5,4.199,4.091,3.589,3.661,3.219,2.73,1.201,0
12/1/1936,0:00,4.8,4.19,4.039,3.51,3.579,3.12,2.569,1.201,0
1/1/1937,0:00,5,4.531,4.419,3.95,4.009,3.599,3.189,2.1,0
2/1/1937,0:00,5.6,4.619,4.482,3.99,4.058,3.629,3.199,1.9,0
3/1/1937,0:00,5.699,4.6,4.469,3.97,4.039,3.599,3.189,2.201,0
4/1/1937,0:00,5.098,4.4,4.281,3.78,3.829,3.379,2.94,2.001,0
5/1/1937,0:00,5,4.439,4.301,3.848,3.901,3.501,3.031,2.201,0
6/1/1937,0:00,5.098,4.501,4.37,3.881,3.94,3.52,3.031,2.402,0
7/1/1937,0:00,5.2,4.531,4.439,3.96,4.039,3.629,3.11,2.402,0
8/1/1937,0:00,4.902,4.491,4.429,3.94,4.009,3.589,3.12,2.402,0
